Name,Date,Close
Quant Active Fund Gr,01-09-2020,215.333
Quant Active Fund Gr,31-08-2020,213.7874
Quant Active Fund Gr,28-08-2020,222.7137
Quant Active Fund Gr,27-08-2020,223.6997
Quant Active Fund Gr,26-08-2020,224.1495
Quant Active Fund Gr,25-08-2020,224.3561
Quant Active Fund Gr,24-08-2020,224.3269
Quant Active Fund Gr,21-08-2020,220.6265
Quant Active Fund Gr,20-08-2020,217.5654
Quant Active Fund Gr,19-08-2020,216.8832
Quant Active Fund Gr,18-08-2020,215.6029
Quant Active Fund Gr,17-08-2020,214.6123
Quant Active Fund Gr,14-08-2020,213.1982
Quant Active Fund Gr,13-08-2020,214.8887
Quant Active Fund Gr,12-08-2020,215.5517
Quant Active Fund Gr,11-08-2020,216.5475
Quant Active Fund Gr,10-08-2020,217.4472
Quant Active Fund Gr,07-08-2020,211.7879
Quant Active Fund Gr,06-08-2020,210.514
Quant Active Fund Gr,05-08-2020,209.7241
Quant Active Fund Gr,04-08-2020,207.8
Quant Active Fund Gr,03-08-2020,207.8532
Quant Active Fund Gr,31-07-2020,205.3151
Quant Active Fund Gr,30-07-2020,199.567
Quant Active Fund Gr,29-07-2020,199.6129
Quant Active Fund Gr,28-07-2020,197.3851
Quant Active Fund Gr,27-07-2020,196.4982
Quant Active Fund Gr,24-07-2020,195.9874
Quant Active Fund Gr,23-07-2020,195.1115
Quant Active Fund Gr,22-07-2020,192.567
Quant Active Fund Gr,21-07-2020,192.918
Quant Active Fund Gr,20-07-2020,193.2298
Quant Active Fund Gr,17-07-2020,192.4213
Quant Active Fund Gr,16-07-2020,190.358
Quant Active Fund Gr,15-07-2020,189.0672
Quant Active Fund Gr,14-07-2020,190.0987
Quant Active Fund Gr,13-07-2020,191.1319
Quant Active Fund Gr,10-07-2020,188.1756
Quant Active Fund Gr,09-07-2020,187.2188
Quant Active Fund Gr,08-07-2020,186.1101
Quant Active Fund Gr,07-07-2020,185.9296
Quant Active Fund Gr,06-07-2020,186.4097
Quant Active Fund Gr,03-07-2020,185.1447
Quant Active Fund Gr,02-07-2020,183.6342
Quant Active Fund Gr,01-07-2020,183.3281
Quant Active Fund Gr,30-06-2020,182.2576
Quant Active Fund Gr,29-06-2020,182.9008
Quant Active Fund Gr,26-06-2020,184.4335
Quant Active Fund Gr,25-06-2020,185.9374
Quant Active Fund Gr,24-06-2020,182.8073
Quant Active Fund Gr,23-06-2020,187.4722
Quant Active Fund Gr,22-06-2020,185.6797
Quant Active Fund Gr,19-06-2020,180.2459
Quant Active Fund Gr,18-06-2020,179.7788
Quant Active Fund Gr,17-06-2020,178.5103
Quant Active Fund Gr,16-06-2020,175.7894
Quant Active Fund Gr,15-06-2020,174.333
Quant Active Fund Gr,12-06-2020,172.4701
Quant Active Fund Gr,11-06-2020,171.9108
Quant Active Fund Gr,10-06-2020,173.4024
Quant Active Fund Gr,09-06-2020,171.1115
Quant Active Fund Gr,08-06-2020,172.4299
Quant Active Fund Gr,05-06-2020,173.3654
Quant Active Fund Gr,04-06-2020,171.2223
Quant Active Fund Gr,03-06-2020,170.1785
Quant Active Fund Gr,02-06-2020,169.9683
Quant Active Fund Gr,01-06-2020,168.6933
Quant Active Fund Gr,29-05-2020,165.9327
Quant Active Fund Gr,28-05-2020,164.3502
Quant Active Fund Gr,27-05-2020,164.61
Quant Active Fund Gr,26-05-2020,163.075
Quant Active Fund Gr,22-05-2020,163.1558
Quant Active Fund Gr,21-05-2020,163.3513
Quant Active Fund Gr,20-05-2020,160.7907
Quant Active Fund Gr,19-05-2020,159.3899
Quant Active Fund Gr,18-05-2020,157.7978
Quant Active Fund Gr,15-05-2020,160.1934
Quant Active Fund Gr,14-05-2020,160.2912
Quant Active Fund Gr,13-05-2020,159.7067
Quant Active Fund Gr,12-05-2020,159.6607
Quant Active Fund Gr,11-05-2020,160.5837
Quant Active Fund Gr,08-05-2020,160.5745
Quant Active Fund Gr,07-05-2020,159.9022
Quant Active Fund Gr,06-05-2020,159.9011
Quant Active Fund Gr,05-05-2020,158.8565
Quant Active Fund Gr,04-05-2020,159.4592
Quant Active Fund Gr,30-04-2020,161.1409
Quant Active Fund Gr,29-04-2020,159.9404
Quant Active Fund Gr,28-04-2020,157.4754
Quant Active Fund Gr,27-04-2020,157.5136
Quant Active Fund Gr,24-04-2020,153.8874
Quant Active Fund Gr,23-04-2020,156.2677
Quant Active Fund Gr,22-04-2020,155.3289
Quant Active Fund Gr,21-04-2020,153.2085
Quant Active Fund Gr,20-04-2020,155.8118
Quant Active Fund Gr,17-04-2020,157.8083
Quant Active Fund Gr,16-04-2020,156.5146
Quant Active Fund Gr,15-04-2020,155.1071
Quant Active Fund Gr,13-04-2020,155.0241
Quant Active Fund Gr,09-04-2020,154.6218
Quant Active Fund Gr,08-04-2020,150.4018
Quant Active Fund Gr,07-04-2020,146.0061
Quant Active Fund Gr,03-04-2020,134.8635
Quant Active Fund Gr,01-04-2020,135.2575
Quant Active Fund Gr,31-03-2020,137.9742
Quant Active Fund Gr,30-03-2020,132.3671
Quant Active Fund Gr,27-03-2020,133.6611
Quant Active Fund Gr,26-03-2020,133.9914
Quant Active Fund Gr,25-03-2020,128.2753
Quant Active Fund Gr,24-03-2020,125.2688
Quant Active Fund Gr,23-03-2020,124.2583
Quant Active Fund Gr,20-03-2020,138.3564
Quant Active Fund Gr,19-03-2020,129.857
Quant Active Fund Gr,18-03-2020,133.6353
Quant Active Fund Gr,17-03-2020,141.6386
Quant Active Fund Gr,16-03-2020,144.6167
Quant Active Fund Gr,13-03-2020,155.5383
Quant Active Fund Gr,12-03-2020,152.2664
Quant Active Fund Gr,11-03-2020,166.156
Quant Active Fund Gr,09-03-2020,166.439
Quant Active Fund Gr,06-03-2020,175.6191
Quant Active Fund Gr,05-03-2020,180.2316
Quant Active Fund Gr,04-03-2020,178.5825
Quant Active Fund Gr,03-03-2020,179.5063
Quant Active Fund Gr,02-03-2020,175.1242
Quant Active Fund Gr,28-02-2020,175.1229
Quant Active Fund Gr,27-02-2020,182.5336
Quant Active Fund Gr,26-02-2020,183.7762
Quant Active Fund Gr,25-02-2020,186.2413
Quant Active Fund Gr,24-02-2020,187.151
Quant Active Fund Gr,20-02-2020,191.4804
Quant Active Fund Gr,19-02-2020,190.6162
Quant Active Fund Gr,18-02-2020,185.8979
Quant Active Fund Gr,17-02-2020,185.7832
Quant Active Fund Gr,14-02-2020,188.6959
