Date,Close,Nifty50
09-10-2018,186.4843,11438.1
09-07-2018,189.0319,11589.1
09-06-2018,187.4358,11536.9
09-05-2018,184.6711,11476.95
09-04-2018,184.8285,11520.3
09-03-2018,187.0507,11582.35
08-31-2018,188.7891,11680.5
08-30-2018,187.5992,11676.8
08-29-2018,187.0716,11691.9
08-28-2018,187.6855,11738.5
08-27-2018,187.1051,11691.95
08-24-2018,186.0407,11557.1
08-23-2018,185.4341,11582.75
08-21-2018,184.6646,11570.9
08-20-2018,184.5165,11551.75
08-17-2018,182.4831,11470.75
08-16-2018,180.2653,11385.05
08-14-2018,181.7701,11435.1
08-13-2018,180.9238,11355.75
08-10-2018,181.4903,11429.5
08-09-2018,182.6519,11470.7
08-08-2018,182.9927,11450
08-07-2018,183.0353,11389.45
08-06-2018,182.4306,11387.1
08-03-2018,181.856,11360.8
08-02-2018,180.3969,11244.7
08-01-2018,182.4492,11346.2
07-31-2018,182.137,11356.5
07-30-2018,181.7548,11319.55
07-27-2018,181.6222,11278.35
07-26-2018,180.1866,11167.3
07-25-2018,179.6916,11132
07-24-2018,179.6381,11134.3
07-23-2018,176.8961,11084.75
07-20-2018,174.721,11010.2
07-19-2018,173.8596,10957.1
07-18-2018,174.6788,10980.45
07-17-2018,175.6361,11008.05
07-16-2018,174.6048,10936.85
07-13-2018,176.9044,11018.9
07-12-2018,177.5122,11023.2
07-11-2018,176.9115,10948.3
07-10-2018,178.0145,10947.25
07-09-2018,176.9468,10852.9
07-06-2018,175.6948,10772.65
07-05-2018,175.0719,10749.75
07-04-2018,174.9452,10769.9
07-03-2018,174.7617,10699.9
07-02-2018,173.8307,10657.3
06-29-2018,175.1641,10714.3
06-28-2018,173.7595,10589.1
06-27-2018,175.0404,10671.4
06-26-2018,175.9226,10769.15
06-25-2018,175.1728,10762.45
06-22-2018,176.406,10821.85
06-21-2018,175.5937,10741.1
06-20-2018,176.8224,10772.05
06-19-2018,176.2366,10710.45
06-18-2018,177.3068,10799.85
06-15-2018,177.1485,10817.7
06-14-2018,177.549,10808.05
06-13-2018,177.6678,10856.7
06-12-2018,178.2609,10842.85
06-11-2018,177.3981,10786.95
06-08-2018,176.7047,10767.65
06-07-2018,176.9691,10768.35
06-06-2018,175.3407,10684.65
06-05-2018,173.918,10593.15
06-04-2018,175.0043,10628.5
06-01-2018,176.2914,10696.2
05-31-2018,177.298,10736.15
05-30-2018,176.7676,10614.35
05-29-2018,176.9307,10633.3
05-28-2018,177.4316,10688.65
05-25-2018,175.8374,10605.15
05-24-2018,174.2986,10513.85
05-23-2018,174.9612,10430.35
05-22-2018,175.7543,10536.7
05-21-2018,175.2826,10516.7
05-18-2018,177.2489,10596.4
05-17-2018,178.9377,10682.7
05-16-2018,179.2245,10741.1
05-15-2018,179.0525,10801.85
05-14-2018,180.0457,10806.6
05-11-2018,179.7003,10806.5
05-10-2018,178.7147,10716.55
05-09-2018,179.9082,10741.7
05-08-2018,179.6082,10717.8
05-07-2018,179.8409,10715.5
05-04-2018,178.6371,10618.25
